STATION,DATE,TEMP,PRCP,WIND,VISIBILITY,CEILING,Year,Month,Day,Season,WeatherCondition,Airport,IATA,Name,City,State
USW00013874,2023-06-01,78.0,0.408,12.1,10.0,23432,2023,6,1,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-02,65.9,0.084,4.8,10.0,25598,2023,6,2,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-03,84.6,0.4559999999999999,1.9,4.8,19007,2023,6,3,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-04,77.8,0.12,22.9,6.4,12701,2023,6,4,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-05,82.6,0.18,2.4,7.2,25922,2023,6,5,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-06,66.4,0.0,21.1,7.2,26935,2023,6,6,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-07,90.0,0.048,6.2,10.0,20922,2023,6,7,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-08,82.4,0.096,5.2,10.0,15814,2023,6,8,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-09,63.5,0.012,16.8,3.6,41780,2023,6,9,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-10,80.6,0.036,2.4,6.6,4251,2023,6,10,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-11,79.4,0.156,2.3,8.6,20724,2023,6,11,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-12,77.6,0.096,12.7,8.4,15872,2023,6,12,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-13,89.7,0.144,1.0,2.6,12853,2023,6,13,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-14,80.0,0.072,15.3,5.2,26643,2023,6,14,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-15,90.0,0.168,11.5,8.3,26222,2023,6,15,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-16,86.2,0.168,12.9,0.0,21312,2023,6,16,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-17,92.8,0.06,17.0,3.3,22625,2023,6,17,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-18,92.1,0.24,9.5,10.0,32680,2023,6,18,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-19,88.4,0.072,6.5,7.7,-543,2023,6,19,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-20,79.2,0.0,11.6,9.3,11770,2023,6,20,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-21,72.4,0.06,1.4,5.7,10832,2023,6,21,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-22,53.8,0.048,3.3,4.5,12935,2023,6,22,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-23,68.9,0.096,6.4,10.0,15034,2023,6,23,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-24,73.8,0.06,5.4,6.9,16278,2023,6,24,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-25,67.5,0.348,3.9,9.2,8062,2023,6,25,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-26,76.7,0.072,8.1,9.1,14330,2023,6,26,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-27,90.1,0.336,9.1,3.6,13462,2023,6,27,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-28,63.4,0.024,19.4,8.8,9142,2023,6,28,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
