FlightDate,Reporting_Airline,Origin,Dest,CRSDepTime,CRSArrTime,DepDelay,ArrDelay,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Distance
2023-07-01,AA,LAS,JFK,1231,1457,0.0,-5.9,0,0,0.0,0.0,0.0,0.0,0.0,933
2023-07-01,AS,MCO,ATL,2053,2244,0.0,3.8,0,0,0.0,0.0,0.0,0.0,0.0,1001
2023-07-01,HA,ATL,DFW,2057,2233,0.0,-2.0,0,0,0.0,0.0,0.0,0.0,0.0,1280
2023-07-01,UA,MCO,CLT,1325,1501,0.0,-7.6,0,0,0.0,0.0,0.0,0.0,0.0,954
2023-07-01,B6,SFO,SEA,0839,1038,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,575
2023-07-01,AS,LAS,SEA,1914,2130,0.0,-6.0,0,0,0.0,0.0,0.0,0.0,0.0,395
2023-07-01,AS,BOS,MCO,0658,0902,0.8,36.2,0,0,0.0,0.0,0.0,0.0,0.0,796
2023-07-01,WN,BOS,PHX,1633,1843,6.7,-2.9,0,0,0.0,0.0,0.0,0.0,0.0,743
2023-07-01,NK,LAS,MIA,2007,2225,28.0,34.9,0,0,2.0,0.0,3.0,0.0,0.0,1209
2023-07-01,AA,MIA,LAX,1325,1454,6.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,1080
2023-07-01,AS,DEN,ATL,1345,1537,59.2,50.5,0,0,27.0,0.0,0.0,0.0,0.0,523
2023-07-01,UA,IAH,SEA,0906,1057,27.6,17.3,0,0,0.0,0.0,0.0,0.0,0.0,501
2023-07-01,WN,MCO,PHX,1132,1358,0.0,-13.4,0,0,0.0,0.0,0.0,0.0,0.0,937
2023-07-01,WN,JFK,SEA,0625,0828,20.2,40.1,0,0,0.0,0.0,0.0,0.0,0.0,550
2023-07-01,B6,DEN,LAS,0936,1127,0.0,-9.2,0,0,0.0,0.0,0.0,0.0,0.0,832
2023-07-01,WN,JFK,LAX,1501,1640,0.0,-2.0,0,0,0.0,0.0,0.0,0.0,0.0,1010
2023-07-01,AS,MCO,DFW,1510,1715,0.0,19.1,0,1,,,,,,1070
2023-07-01,AA,IAH,CLT,0814,1051,3.3,3.0,0,0,0.0,0.0,0.0,0.0,0.0,431
2023-07-01,G4,MCO,JFK,1741,2021,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1122
2023-07-01,B6,DFW,JFK,1541,1805,0.0,13.6,0,0,0.0,0.0,0.0,0.0,0.0,412
2023-07-01,G4,ATL,ORD,1008,1130,10.5,15.1,0,0,0.0,0.0,0.0,0.0,0.0,545
2023-07-01,F9,MCO,DFW,1351,1514,0.0,10.5,0,0,0.0,0.0,0.0,0.0,0.0,680
2023-07-01,AS,IAH,BOS,1706,1928,0.0,0.8,0,1,,,,,,653
2023-07-01,AA,ORD,JFK,0731,1003,15.3,-1.4,0,0,0.0,0.0,0.0,0.0,0.0,840
2023-07-01,B6,ORD,LAS,1514,1710,0.0,-13.3,0,0,0.0,0.0,0.0,0.0,0.0,891
2023-07-01,UA,PHX,ORD,1452,1604,0.0,1.7,0,0,0.0,0.0,0.0,0.0,0.0,834
2023-07-01,NK,DFW,MCO,1505,1644,0.0,-15.1,0,0,0.0,0.0,0.0,0.0,0.0,1030
2023-07-01,WN,BOS,ORD,0930,1158,0.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,1026
2023-07-01,NK,MIA,DEN,2150,0036,0.0,-11.5,0,0,0.0,0.0,0.0,0.0,0.0,476
2023-07-01,AS,DEN,IAH,1108,1344,3.0,3.9,1,0,,,,,,1016
2023-07-01,B6,MCO,SFO,1132,1410,0.0,-16.5,0,0,0.0,0.0,0.0,0.0,0.0,1091
2023-07-01,AS,ATL,LAS,2007,2202,5.3,-11.4,0,0,0.0,0.0,0.0,0.0,0.0,906
2023-07-01,NK,BOS,LAS,1601,1746,0.0,-8.4,0,0,0.0,0.0,0.0,0.0,0.0,185
