STATION,DATE,TEMP,PRCP,WIND,VISIBILITY,CEILING
USW00013874,2024-01-01,32.0,0.51,12.1,8.0,23432
USW00013874,2024-01-02,13.9,0.10500000000000001,4.8,8.0,25598
USW00013874,2024-01-03,41.9,0.5700000000000001,1.9,3.84,19007
USW00013874,2024-01-04,31.7,0.15000000000000002,22.9,5.120000000000001,12701
USW00013874,2024-01-05,38.9,0.22499999999999998,2.4,5.760000000000001,25922
USW00013874,2024-01-06,14.5,0.0,21.1,5.760000000000001,26935
USW00013874,2024-01-07,50.0,0.06,6.2,8.0,20922
USW00013874,2024-01-08,38.6,0.12,5.2,8.0,15814
USW00013874,2024-01-09,10.2,0.015,16.8,2.8800000000000003,41780
USW00013874,2024-01-10,36.0,0.045,2.4,5.28,4251
USW00013874,2024-01-11,34.1,0.195,2.3,6.88,20724
USW00013874,2024-01-12,31.4,0.12,12.7,6.720000000000001,15872
USW00013874,2024-01-13,49.5,0.18,1.0,2.08,12853
USW00013874,2024-01-14,35.1,0.09,15.3,4.16,26643
USW00013874,2024-01-15,50.0,0.21000000000000002,11.5,6.640000000000001,26222
USW00013874,2024-01-16,44.4,0.21000000000000002,12.9,0.0,21312
USW00013874,2024-01-17,54.1,0.07500000000000001,17.0,2.64,22625
USW00013874,2024-01-18,53.1,0.30000000000000004,9.5,8.0,32680
USW00013874,2024-01-19,47.6,0.09,6.5,6.16,-543
USW00013874,2024-01-20,33.8,0.0,11.6,7.440000000000001,11770
USW00013874,2024-01-21,23.6,0.07500000000000001,1.4,4.5600000000000005,10832
USW00013874,2024-01-22,-4.3,0.06,3.3,3.6,12935
USW00013874,2024-01-23,18.3,0.12,6.4,8.0,15034
USW00013874,2024-01-24,25.6,0.07500000000000001,5.4,5.5200000000000005,16278
USW00013874,2024-01-25,16.3,0.43499999999999994,3.9,7.359999999999999,8062
USW00013874,2024-01-26,30.0,0.09,8.1,7.28,14330
USW00013874,2024-01-27,50.1,0.42000000000000004,9.1,2.8800000000000003,13462
USW00013874,2024-01-28,10.2,0.03,19.4,7.040000000000001,9142
USW00013874,2024-01-29,37.1,0.03,3.4,8.0,31952
USW00013874,2024-01-30,27.0,0.135,26.0,7.120000000000001,22036
USW00013874,2024-01-31,31.9,0.10500000000000001,8.3,7.440000000000001,19123
USW00013874,2024-02-01,32.4,0.015,12.5,4.64,18318
USW00013874,2024-02-02,47.9,0.09,6.5,6.08,25601
USW00013874,2024-02-03,17.5,0.34500000000000003,11.2,5.120000000000001,22323
USW00013874,2024-02-04,25.6,0.63,6.8,7.6000000000000005,19785
USW00013874,2024-02-05,48.7,0.165,6.0,7.440000000000001,12994
USW00013874,2024-02-06,32.9,0.045,6.9,8.0,7783
USW00013874,2024-02-07,41.6,0.09,12.2,7.2,5030
USW00013874,2024-02-08,30.8,0.06,8.6,8.0,37772
USW00013874,2024-02-09,42.3,0.315,11.2,4.64,13094
USW00013874,2024-02-10,30.5,0.045,1.1,8.0,19970
USW00013874,2024-02-11,-1.8,0.09,17.8,3.7600000000000002,15101
USW00013874,2024-02-12,27.2,0.07500000000000001,8.0,4.5600000000000005,38795
USW00013874,2024-02-13,30.5,0.09,15.6,7.440000000000001,20639
USW00013874,2024-02-14,18.6,0.0,8.0,7.6000000000000005,25441
USW00013874,2024-02-15,52.9,0.07500000000000001,10.3,6.16,28112
USW00013874,2024-02-16,36.6,0.255,8.7,5.44,4526
USW00013874,2024-02-17,41.7,0.015,0.7,2.32,17854
USW00013874,2024-02-18,38.9,0.06,5.9,8.0,19403
USW00013874,2024-02-19,28.4,0.48,10.8,3.44,12002
USW00013874,2024-02-20,49.2,0.135,5.3,3.04,10844
USW00013874,2024-02-21,36.2,0.015,8.6,6.4,10654
USW00013874,2024-02-22,37.1,0.30000000000000004,17.6,7.2,42199
USW00013874,2024-02-23,15.8,0.22499999999999998,6.3,7.68,22849
USW00013874,2024-02-24,46.3,0.15000000000000002,8.9,8.0,10590
USW00013874,2024-02-25,40.7,0.12,17.3,5.120000000000001,29221
USW00013874,2024-02-26,53.6,0.33,14.4,5.760000000000001,11208
